reaction_type_index,reaction_type,reaction_indices
2233,c1cnnnc1>>C12C=NN1N=C2,[857]
2234,c1cnnnc1>>C1=CC1N=[N&+]=[N&-],[862]
2235,C#N.C=O>>C(N=C)=O,[11487]
2236,c1cnnnc1[#1]>>C(C=[N&+]=[N&-])(C#N)[#1],[861]
2237,C(#C)C#C>>C12=C3C1C23,[5074]
2238,c1cnno1>>C(=[C&+])[O&-].N#N,[6490]
2239,c1cnno1>>C(C1N=N1)=O,[4100]
2240,c1cnno1>>C([N&-][N&+]#C)=O,[4102]
2241,c1coc(=O)n1>>[C&+](C=O)[N&-].[C&-]#[O&+],[7342]
2242,c1coc(=O)n1>>[C&-]#[O&+].C(C=O)=N,[9147]
2243,c1coc(N[#1])c1>>C1=CC(=N)OC1[#1],[11682]
2244,c1cnnnc1>>C1=C[N&-][N&+]2=NC12,[858]
2245,c1cnncc1>>C1=CC=C1.N#N,[5287]
2246,c1cnncc1>>C1=CC=[N&+]2C1[N&-]2,[5280]
2247,c1cnncc1[#1]>>C([C&-][N&+]#N)=C=C[#1],[5286]
2248,c1cnncc1[#1]>>C1=C=C[N&-]N([#1])[C&+]1,[5284]
2249,c1cnncc1[#1]>>C1=[C&+]C([#1])[N&-]N=C1,[5277]
2250,c1cnncn1>>C#C.C#N.N#N,[7950]
2251,c1cnncn1>>C(=CN=[N&-])[N&+]#C,[7948]
2252,c1cnncn1>>C1(C=[N&+]=[N&-])C=N1,[7939]
2253,c1cnnn1>>C1=CN1N=N,[4610]
2254,c1cnncn1>>[C&-]=NC=N[N&+]#C,[7951]
2255,C(/N=C/C)[#1]>>C=[N&+]=[C&-].C[#1],[2440]
2256,C(#C)[#1].C#N>>C=CC=N[#1],[2603]
2257,c1cnnn1>>C(=C[N&+]#N)[N&-],[4612]
2258,c1cnnn1>>C(C=N)=[N&+]=[N&-],[602]
2259,C(#C)[#1].C#C>>C1(=C[#1])C=C1,[11025]
2260,c1cnnn1>>C1(C=N)N=N1,[3008]
2261,c1cnnn1>>C12C=NN1N2,[4608]
2262,c1cnncn1>>C12C=NN1C=N2,[7943]
2263,C#N.NC>>C(=NC)N,[9910]
2264,c1cocn1>>C(=[C&+])[O&-].C#N,[3178]
2265,C#N.N>>[C&+].[N&-]=N,[4934]
2266,c1cocn1>>C1(C=O)C=N1,[2070]
2267,c1cocn1>>C1(C=O)CN1,[9149]
2268,c1cocn1>>C1=CN1.O=C,[7339]
2269,c1cocn1>>C1=CN1C=O,[3083]
2270,c1cocn1>>C1=NC1[O&+]=[C&-],[3179]
2271,c1coc(N[#1])c1>>C1=COC(=N)C1[#1],[11688]
2272,c1cocn1>>CC=N.O=C,[7334]
2273,c1cocn1>>[C&+]=C[O&-].C#N,[3082]
2274,c1cocn1>>[C&+]=C[O&-].C=N,[7341]
2275,C#N.N=C>>N1CN=C1,[8566]
2276,C#N.N#C>>N1C2C1N2,[9446]
2277,c1cocn1[#1]>>C1=NCOC1[#1],[9148]
2278,C#N.C=O>>C(N=O)=C,[11479]
2279,c1conc1>>C/C=C/N=O,[10748]
2280,C#N.N=C[#1]>>N(C=[N&+]=[C&-])[#1],[8561]
2281,c1coc(O)n1>>C1=CO/C1=N\O,[9515]
2282,c1coc(O[#1])n1>>C(=CO[#1])N=C=O,[9511]
2283,c1coc([#1])c1>>C1([#1])[C&-][O&+]=C=C1,[11711]
2284,C#N.O[#1]>>ON(C)[#1],[9917]
2285,c1coc([#1])c1>>[C&-]1C([#1])[O&+]=C=C1,[1843]
2286,C#N.O=CC>>O(C1C=N1)C,[10609]
2287,c1cocc1>>C(=CC=O)C,[11717]
2288,C#N.O=C>>O=NC=C,[10586]
2289,c1cocn1>>C#[N&+][C&-][O&+]=[C&-],[3085]
2290,C#N.O=C(C)[#1]>>CC=N[#1].[O&+]#[C&-],[10592]
2291,c1cocc1N>>C(=C[O&-])C1=C[N&+]1,[11720]
2292,c1cocc1N>>[C&-]1C(=C[O&+]=[C&-])[N&+]1,[11713]
2293,c1cocc1N[#1]>>C1=COC([#1])C1=N,[11723]
2294,C#N.N[#1]>>N/C=N\[#1],[7003]
2295,c1cocc1[#1]>>C1=C=COC1[#1],[1844]
2296,c1cocc1[#1]>>C1=COC1=C[#1],[7648]
2297,c1cocn1>>C#C.O1C=N1,[9507]
2298,C#N.O=C>>O1CN=C1,[743]
2299,CC=N>>C[N&+]=[C&-],[2525]
2300,CC=O.C[#1]>>[C&-].C[#1].C#[O&+],[1382]
2301,CC=O.O>>C[O&+]=C.[O&-],[9939]
2302,CC=O.O[#1]>>CO[#1].OC,[7837]
2303,C(n1ncnn1)[#1]>>C=N/N=C\N=N\[#1],[1755]
2304,C(n1nccn1)[#1]>>C=[N&+]1[N&-]C([#1])C=N1,[4703]
2305,CCC#C.O>>C.OC1=CC1,[6078]
2306,C#CC(O)[#1]>>[C&+]=C=[C&-].O[#1],[1647]
2307,CCC#C.O>>CC(=C)[C&+].[O&-],[10279]
2308,C(n1cnnn1)[#1]>>C=[N&+]1C([#1])N=N[N&-]1,[412]
2309,CCC#C.O>>[C&-].[O&+]C=C=C,[6948]
2310,C(n1cnnc1)[#1]>>[C&-][N&+]1([#1])C=NN=C1,[2656]
2311,C(n1cnnc1)[#1]>>C=[N&+]1C([#1])[N&-]N=C1,[2659]
2312,CCC#C>>CC1=CC1,[1315]
2313,C(n1cncn1)[#1]>>C=[N&+]1C=NC([#1])[N&-]1,[1572]
2314,C(n1cncn1)[#1]>>C=[N&+]1C([#1])N=C[N&-]1,[1569]
2315,CCC#C.O>>C.OC=C=C,[6077]
2316,C.C[#1].O[#1]>>CC.[#1][#1].O,[3632]
2317,CC1CN1>>CNC=C,[5996]
2318,C.CN>>CN.C,[2254]
2319,CC1CO1>>C.CC=O,[5790]
2320,C.CC[#1]>>CC.C[#1],[486]
2321,C.C(O)[#1]>>[C&+].[C&-].O[#1],[5781]
2322,CC1OC1.O>>C.OCC=O,[136]
2323,CC1OC1>>C.C(=O)C,[10972]
2324,C(n1ncnn1)[#1]>>C=[N&+]1N([#1])C=N[N&-]1,[1753]
2325,C.C(N)[#1]>>[C&+].[C&-].N[#1],[2262]
2326,C.C(C)[#1]>>[C&+].[C&-].C[#1],[2275]
2327,CC1OCCC1>>CCC=O.C=C,[6906]
2328,CC1OCCO1>>COC=O.C=C,[5608]
2329,CC=C.N#C>>N1=CC1CC,[11212]
2330,CC=C.N#C>>[N&+](=[C&-])=CCC,[11213]
2331,C(n1ncoc1)[#1]>>C=[N&+]([N&-]C=O)C[#1],[8643]
2332,CC=CN.O>>C#C.N.OC,[6233]
2333,C.C(O)([#1])[#1]>>[C&-].C=[O&+].[#1][#1],[5409]
2334,CCCC#N>>C[N&+]#[C&-].C=C,[9374]
2335,CCCC.O>>C.C=C.OC,[10627]
2336,CCCC.O>>C=C.C.OC,[10622]
2337,CCCC=O>>CCC[O&+]=[C&-],[10103]
2338,CCCC>>CCC.C,[221]
2339,CCCC>>[C&+].[C&-].C=C,[10399]
2340,C(n1cccc1[#1])[#1]>>[C&-][N&+]1=C=CC=C1.[#1][#1],[8886]
2341,C(n1cncc1)[#1]>>[C&-][N&+]1([#1])C=NC=C1,[7246]
2342,CCCN>>CCC.N,[7012]
2343,CCCN>>CC[N&+][C&-],[10988]
2344,C(n1c([#1])nnc1)[#1]>>C=N/C=N\[N&+]#[C&-].[#1][#1],[2658]
2345,CCCO.O>>C=C.OC.O,[2282]
2346,CCCO>>CCC.O,[4156]
2347,C(n1c([#1])ccn1)[#1]>>[C&-][N&+]1=C=CC=N1.[#1][#1],[9070]
2348,CCCOC[#1]>>C[#1].C=C.C=O,[10908]
2349,CCCOC[#1]>>C[#1].C=C.O=C,[6293]
2350,C(n1cccc1O[#1])[#1]>>C=[N&+]1C=CC=C1[O&-].[#1][#1],[9157]
2351,CCC(C)=O>>[C&+].CC(=C)[O&-],[8257]
2352,CCC(C)O[#1]>>C[#1].C(C)C=O,[7733]
2353,CCC(C[#1])C>>C[#1].C=CCC,[11358]
2354,CCC(C[#1])[#1]>>CCC=C.[#1][#1],[8663]
2355,C(n1cncc1)[#1]>>C1C2N=CC([#1])N12,[7925]
2356,C(n1ccnn1)[#1]>>C=[N&+]1C([#1])C=N[N&-]1,[6376]
2357,CCC.C>>[C&+].[C&-].CC,[8386]
2358,CCC.N.O>>CCC.[N&+].[O&-],[7011]
2359,C(n1ccnc1)[#1]>>C1N2C([#1])C=NC12,[11888]
2360,CCC1C([#1])C1>>C[#1].C=CC=C,[2462]
2361,CCC1CN1[#1]>>C[#1].C1CN=C1,[113]
2362,CCC1CN1[#1]>>C[#1].C=CN=C,[101]
2363,CCC1N([#1])C1>>C[#1].C1C=NC1,[7638]
2364,CCC1N([#1])C1>>C[#1].C=CN=C,[7645]
2365,C(n1ccnc1)[#1]>>[C&-][N&+]1([#1])C=CN=C1,[1952]
2366,C(n1ccnc1)[#1]>>C1N2C1C=NC2[#1],[1953]
2367,CCC=O>>CC=[O&+][C&-],[11782]
2368,C(n1ccnn1)[#1]>>C1N=CC=NN1[#1],[5883]
2369,CC.C#C>>[C&+].C(=[C&-])C,[7555]
2370,CC.C#C>>[C&+].[C&-]=CC,[7557]
2371,C1(C)CN1>>C(CC)=N,[3281]
2372,CC.C#N.N>>[C&+].CN.C=[N&-],[10226]
2373,CC.C#N>>C/N=C/C,[10605]
2374,C1(C)CC1>>C(CC)=C,[2828]
2375,CC.C#N>>CN=CC,[2451]
2376,CC1CN1>>C.CC=N,[2259]
2377,CC.C.O>>C.C.OC,[3152]
2378,CC.C=C.O>>C.OCCC,[8781]
2379,C1(C)CC1.O>>C(=C)CO.C,[7143]
2380,C1(C)C([#1])O1>>C(=[C&+])[O&-].C[#1],[9863]
2381,CC.CC>>CC.C.C,[7424]
2382,CC.CC>>[C&+].[C&-].CC,[10228]
2383,CC.CN>>CN.CC,[2589]
2384,CC.CO>>CC.CO,[2554]
2385,CC.C#N>>[C&+].CC=[N&-],[10220]
2386,C1(C[#1])CN1>>C(=C)[#1].C=N,[9858]
2387,C1(CC[#1])CO1>>C(=C)O[#1].C=C,[7596]
2388,CC(O)C>>CC.[O&+]=[C&-],[6732]
2389,CC(O)C>>[C&+].[C&-].[O&+]=[C&-],[4097]
2390,C1(CC)CN1>>C(=C)C.C=N,[8849]
2391,C1(CC)CC1>>C(=C)C.C=C,[7150]
2392,CC(O)[#1].O>>C[#1].C=[O&+].[O&-],[2633]
2393,CC(O)[#1].O>>[C&-]=[O&+].C.O[#1],[1135]
2394,CC.C#C>>CC=CC,[2730]
2395,C1(CC#N)CC1>>C(=C)CN=C=C,[10535]
2396,CC(OC)[#1]>>C(C=O)[#1].C,[7760]
2397,C1(CC#C)CN1>>C(CC=C=C)=N,[7561]
2398,C1(C=O)CO1>>C(=O)C1CO1,[10568]
2399,C1(C=O)CN1>>C(=N)C1CO1,[10348]
2400,C1(C=O)CC1>>C(C1CC1)=O,[1029]
2401,CC(c1cnnn1)[#1]>>[C&-]=C1C=[N&+]N=N1.C[#1],[7954]
2402,CC.C#C>>CC(C)C,[11667]
2403,C1(CC#N)CN1>>C(CN=C=C)=N,[8848]
2404,C.NC[#1]>>[C&+].[C&-].N[#1],[10298]
2405,CC.O[#1]>>C[#1].C.O,[3658]
2406,C.NC>>C.NC,[10306]
2407,CC1=CCOC1>>CCC#C.C=O,[7751]
2408,CC1=NCCO1>>CN=C=O.C=C,[2923]
2409,CC1C([#1])O1>>C[#1].C(=[C&+])[O&-],[2379]
2410,CC1C([#1])O1>>[C&+]=C[O&-].C[#1],[10786]
2411,CC.CO>>CO.CC,[9110]
2412,CC1CC(=O)C1>>[C&-]#[O&+].CCC=C,[1998]
2413,CC1CC(=O)O1>>[C&-]#[O&+].CCC=O,[7810]
2414,CC1CC1.O>>C.OCC=C,[2326]
2415,C.N#CCC>>C.N(=C=C)C,[11204]
2416,C.C[#1].O[#1]>>CO.C.[#1][#1],[7740]
2417,CC1CN1.O>>C.OCC=N,[5534]
2418,CC1CN1.O>>CC[N&+]=C.[O&-],[10339]
2419,CC1CN1.O>>CO.C(=C)N,[6782]
2420,CC1C([#1])OC1>>CCC(C=O)[#1],[1329]
2421,CC.C[#1].C>>C[#1].C.CC,[7422]
2422,CC.C[#1]>>C.C[#1].C,[8794]
2423,C1(C#N)CO1>>C(=O)C1=NC1,[9310]
2424,C1(C#N)CC1>>[C&+]=C=[N&-].C=C,[2478]
2425,CC.C[#1]>>[C&+].[C&-].C[#1],[815]
2426,C/N=C/N>>CN.N#C,[44]
2427,C/N=C/N.O>>CO.N#C.N,[39]
2428,CC.N>>[C&+].C.[N&-],[7970]
2429,CC.OC>>CC.CO,[5062]
2430,CC.NC>>CC.CN,[9733]
2431,CC.N[#1].O>>C[#1].CO.N,[10558]
2432,C/C(=N/[#1])OC>>CN=C=O.C[#1],[1107]
2433,C.c1conc1>>C=CON=CC,[9364]
2434,C.c1cnnc1>>C=CNN=CC,[10256]
2435,C.OC(C)[#1]>>C[#1].C.[O&+]=[C&-],[10743]
2436,C.O>>OC,[8784]
2437,C.O=CC>>O(CC)C,[8777]
2438,C/C=N\O>>CO.C#N,[6826]
2439,C(c1cncc1)[#1]>>C=C1[C&-][N&+]([#1])C=C1,[686]
2440,CN=COC[#1]>>C[#1].C=O.N#C,[6596]
2441,CNC(C)C[#1]>>C[#1].CCC=N,[8604]
2442,CNC1CC1>>CCNC=C,[2322]
2443,CNC=O.O=C>>O1COC(C)N1,[6783]
2444,CNC=O.O>>C.OC1NO1,[6797]
2445,CNC=O>>CC1NO1,[7802]
2446,CCC[#1].C=O>>[C&+][O&-].C[#1].C=C,[11579]
2447,CNCCC#C>>CC=C=C.N=C,[6946]
2448,CNCN>>CN.N=C,[11054]
2449,C(c1cn([#1])cn1)[#1]>>C=C1C=NC=N1.[#1][#1],[10405]
2450,C(c1ccno1)[#1]>>C=C1C=CN([#1])O1,[1099]
2451,CNC[#1].O>>C.OCN[#1],[6639]
2452,CNC[#1]>>CCN[#1],[629]
2453,C(c1ccnn1[#1])[#1]>>C=C1C=CN=N1.[#1][#1],[8821]
2454,CN[#1].N>>C[#1].NN,[4002]
2455,CNCC#N>>C[N&+]#[C&-].N=C,[11849]
2456,CN.C#N>>C/N=C\N,[258]
2457,CN.C#N>>CN=CN,[7165]
2458,CN.C=C>>CCCN,[11408]
2459,CN.C>>C.NC,[7887]
2460,CN.C>>CC.N,[6235]
2461,CN.N>>CN.N,[836]
2462,CN.O=C.O>>N.O(CO)C,[6786]
2463,CN.O=C>>O(CN)C,[6622]
2464,CN=CO.O=C>>N#C.O(CO)C,[10554]
2465,C(c1cncn1)[#1]>>C=C1C([#1])N=CN1,[8692]
2466,C(c1cncn1)[#1]>>C=C(C=N)N=C[#1],[10418]
2467,CN.O>>[N&-].[O&+]C,[6636]
2468,CN.O[#1].O>>CO.N.O[#1],[6484]
2469,C(c1cncn1)[#1]>>C1C(=NC=N)C1[#1],[10411]
2470,C(c1cncc1)[#1]>>[C&+]C1=CN[C&-]C1[#1],[689]
2471,CN=CN.N>>NC.N#C.N,[4001]
2472,CN=CN.O>>N#C.N.OC,[831]
2473,C(c1cncn1)[#1]>>C=C1C=NC([#1])N1,[8693]
2474,C(c1c([#1])ncn1)[#1]>>[C&-]C1=C=[N&+]=CN1.[#1][#1],[8691]
2475,C(c1c(N[#1])cco1)[#1]>>C=C1C(=N)C=CO1.[#1][#1],[10956]
2476,CO.NC>>CN.OC,[6618]
2477,CO.N[#1].O.O>>N.OC.O.O[#1],[10077]
2478,CO.N[#1].O>>CO.N.O[#1],[10559]
2479,CO.N[#1].O>>N.OC.O[#1],[2191]
2480,CO.N[#1]>>CN.O[#1],[7002]
2481,CNcn>>Cnc=N,[9496]
2482,CO.O.O>>C.OO.O,[10069]
2483,C([N&+]#N)[#1].[O&-]>>C=[N&+]=[N&-].O[#1],[6039]
2484,C([C@]1[C@](C)N1)[#1]>>C=CC=N.C[#1],[1301]
2485,CO.OC>>[C&+].CO.[O&-],[6662]
2486,C([C@]1[C@](C)C1)[#1]>>C=CC=C.C[#1],[6907]
2487,C([C@]1[C@@]([#1])O1)[#1]>>C=C[O&+]=[C&-].[#1][#1],[5791]
2488,C([C@]1C[C@]1[#1])[#1]>>C=CC=C.[#1][#1],[9702]
2489,C([#1])[#1].O>>[C&+].[#1][#1].[O&-],[961]
2490,C([O&-])[#1].N#[N&+]>>C=O.N(=N)[#1],[8227]
2491,C(c1ccco1)[#1]>>C=C(/C=C\C=O)[#1],[10954]
2492,C(c1cccn1)[#1]>>C=C=CC=CN[#1],[7188]
2493,C(c1cccn1)[#1]>>C=C1[C&-]C([#1])[C&+]N1,[2086]
2494,CO.C.O>>C.O.OC,[11250]
2495,CO.C=C>>CCCO,[8225]
2496,CO.C=N>>CNCO,[7660]
2497,CO.C=O>>CCOO,[8736]
2498,C(c1ccc([#1])o1)[#1]>>[C&-]C1=CC=C=[O&+]1.[#1][#1],[10945]
2499,C(c1c([#1])ocn1)[#1]>>C=C1[C&-]=[O&+]C=N1.[#1][#1],[2067]
2500,CO.C>>C.OC,[9670]
2501,C(c1cc([#1])cn1)[#1]>>C=C1C=C=CN1.[#1][#1],[11348]
2502,CO.CO>>CC.OO,[2605]
2503,CO.CO>>[C&+].CO.[O&-],[5652]
2504,C(c1cc(N)co1)[#1]>>C=C1C=C([N&+][#1])[C&-]O1,[6860]
2505,C(c1c([#1])onc1)[#1]>>C=C1[C&-]=[O&+]N=C1.[#1][#1],[4790]
2506,CO.C[#1]>>[C&+].[C&-].O[#1],[7117]
2507,CO.N.O[#1]>>N[#1].OC.O,[1007]
2508,CO.C>>C.CO,[883]
2509,CCN>>[C&-].[N&+]=C,[4999]
2510,CCNC(=N)C#N>>CNCN[C&+]=C=[N&-],[10218]
2511,C(c1nncn1)[#1]>>C=C(N=N)NC[#1],[7779]
2512,CCNC>>CC.N=C,[7022]
2513,C(c1nnc([#1])n1)[#1]>>C=C1[N&-][N&+]=C=N1.[#1][#1],[7309]
2514,CCNCC>>CC.C=[N&+][C&-],[8867]
2515,C(c1ncno1)[#1]>>C=C1N([#1])C=NO1,[5047]
2516,CN.C#C>>CC(N)C,[636]
2517,CCN[#1]>>CNC[#1],[7295]
2518,C(c1ncco1)[#1]>>C=C1N([#1])C=CO1,[190]
2519,CCO.C#N.N>>CN.C=[O&+].C=[N&-],[11283]
2520,CCO.C[#1].O>>C[#1].C=[O&+].C.[O&-],[6353]
2521,C(c1nccn1)[#1]>>[C&-][N&+]1C([#1])=NC=C1,[7929]
2522,C(c1ncc([#1])o1)[#1]>>C=C1[N&-]C=C=[O&+]1.[#1][#1],[195]
2523,C(c1conc1)[#1]>>C=C1C=[O&+][N&-]C1[#1],[4789]
2524,CCO>>[C&-][O&+].C,[2918]
2525,CCN[#1].O>>C.C=N.O[#1],[9247]
2526,C(ccC[#1])[#1]>>C=cc=C.[#1][#1],[11355]
2527,C(c1nocn1)[#1]>>C=C1[N&-][O&+]=CN1[#1],[5472]
2528,C(c1nocn1)[#1]>>C1[C@]2([#1])N1OC=N2,[5476]
2529,C(c1nocc1[#1])[#1]>>[C&+]C1=C=CO[N&-]1.[#1][#1],[7457]
2530,CCC[#1]>>C.C(C)[#1],[3145]
2531,C(c1nocc1)[#1]>>C=C1[N&-]OC([#1])[C&+]1,[2837]
2532,C(c1noc(N)c1)[#1]>>C=C1[N&-][O&+]=C=C1.N[#1],[8552]
2533,C(c1nnnc1)[#1]>>[C&+]C1=NN[N&-]C1[#1],[759]
2534,CCN>>[C&-].C=[N&+],[9264]
2535,CCN.O>>C.[N&+]=C.[O&-],[10981]
2536,C(c1nnnc1)[#1]>>C=C1N([#1])NN=C1,[762]
2537,C(c1nncn1)[#1]>>[C&+]C1=NNC([#1])[N&-]1,[7324]
2538,CCN1CC1>>CC[N&+](=C)[C&-],[1344]
2539,CCN1CC1>>CN=C.C=C,[1193]
2540,CCN=C[#1]>>C[#1].C=[N&+]=[C&-],[5519]
2541,C(c1nncn1)[#1]>>C=C1[N&-][N&+]([#1])C=N1,[7316]
2542,C(c1nncn1)[#1]>>C=C1N([#1])NC=N1,[7311]
2543,CCN.O>>C.C=[N&+].[O&-],[8943]
2544,CC[#1].C#N>>C[#1].C1C=N1,[11321]
2545,C(c1cnno1)[#1]>>C=C1C=NN([#1])O1,[4098]
2546,CC[#1].N.O>>C(C)[#1].[N&+].[O&-],[7788]
2547,CC[#1].N.O>>[C&-]N.C[#1].[O&+],[10358]
2548,C(c1cnnn1)[#1]>>C=C1[C&+]N[N&-]N1[#1],[3003]
2549,CC[#1].O>>C.C.O[#1],[3274]
2550,CC[#1].O>>C[#1].[O&+][C&-],[10641]
2551,C(c1conc1)[#1]>>C=C1C([#1])ON=C1,[4784]
2552,CC[#1].O>>[C&-][O&+].C[#1],[1153]
2553,CCn1ccnc1>>CC1[N&+]([C&-])=CC=N1,[11878]
2554,CCn1ccnc1>>C[N&+]1([C&-])C=CN=C1,[11879]
2555,CN(C(=O)NC=N)[#1]>>C[#1].n1c([O&-])[n&+]cn1,[8992]
2556,C(c1cnnc1)[#1]>>C=C1C([#1])NN=C1,[5236]
2557,CN(CO)[#1]>>C[#1].N(=C)O,[10046]
2558,C(c1cnco1)[#1]>>C=C1C=NC([#1])O1,[3111]
2559,CN.C#C>>C/C=C\N,[6945]
2560,C(c1cnnn1)[#1]>>C=C1C=NN([#1])N1,[4115]
2561,CCOC(C#N)[#1]>>C[#1].C=[O&+]C=C=[N&-],[5498]
2562,CCOC(N)=O>>C[N&+][C&-]([O&-])[O&+]=C,[8284]
2563,CCOC.O>>C.C=O.OC,[4917]
2564,CCOC.O>>CO.C=O.C,[10093]
2565,CCOC=N>>COCNC,[1001]
2566,CCOC>>COC.C,[11257]
2567,CCOC>>COCC,[4355]
2568,CCOCC#N>>COCN=C=C,[5499]
2569,CC[#1].C#C>>C[#1].C1C=C1,[7305]
2570,C(c1cocn1)[#1]>>C=C1C([#1])OCN1,[9145]
2571,CCOCC[#1]>>C[#1].C=O.C=C,[8444]
2572,CCOCN[#1]>>C[#1].C=O.N=C,[8268]
2573,C(c1cocn1)[#1]>>C=C(/N=C\[O&+]=[C&-])[#1],[9509]
2574,CCOC[#1]>>[C&-].C=[O&+]C[#1],[1734]
2575,C(c1cocc1N[#1])[#1]>>C=C1C=[O&+]C=C1[N&-].[#1][#1],[11710]
2576,C(c1cocc1)[#1]>>C=C1[C&-][O&+]=CC1[#1],[11684]
2577,C(c1cocc1)[#1]>>C=C1C=[O&+]C([#1])[C&-]1,[965]
2578,CCOCC>>CC.C=[O&+][C&-],[8455]
2579,C1C2COC12>>C=CC=[O&+][C&-],[4524]
2580,C1C2CCOC12>>C=CC=C.C=O,[566]
2581,C1NC([#1])C([#1])N1>>[#1][#1].c1nccn1,[2115]
2582,C1NC([#1])CN1>>C=N.N=CC[#1],[10136]
2583,C1NC([#1])CO1>>C=O.N=CC[#1],[5442]
2584,C1NC1.O>>C=[O&+].[N&-]C,[6082]
2585,C1C2CCN12.O>>C[N&+](C=C)=C.[O&-],[6629]
2586,CC(N)C>>[C&-]=[N&+].CC,[10644]
2587,C1NC1>>[C&-][N&+]=C,[9135]
2588,C1NC1C#N>>C=[N&+]=[C&-]C=N,[3818]
2589,C1NC1C.O>>C(C=N)O.C,[7608]
2590,C1NC1C>>C(C=N)C,[8261]
2591,C1NC1CC>>C=N.C(=C)C,[7614]
2592,C1NC1C[#1]>>C(CC=N)[#1],[9129]
2593,C1C2CC=CC12>>C=CC=C.C#C,[822]
2594,C1C([#1])OCO1>>C=CO[#1].C=O,[6594]
2595,C1C2CCCN12>>C=CN=C.C=C,[8600]
2596,C1CO1>>[C&-][O&+]=C,[900]
2597,C1COC([#1])=N1>>C=C.O=C=N[#1],[7249]
2598,C1COC([#1])O1>>C=C.O(C=O)[#1],[7103]
2599,C1COC([#1])O1>>C=C.O=CO[#1],[5113]
2600,C1COC1=O>>C1[C&-]=[O&+]1.C=O,[1320]
2601,C1C2OC=NC12>>C=CC=O.C#N,[5145]
2602,C1C2COCC12>>C=CC=C.C=O,[3260]
2603,C1COC2CC12>>C=C.O=CC=C,[8526]
2604,C1N(C)C1>>C=NCC,[9132]
2605,C1COC=NC1>>C=C.C=O.C#N,[7387]
2606,C1COCC1>>[C&-][O&+]=C.C=C,[8512]
2607,C1COCC1[#1]>>C=CC[#1].C=O,[11007]
2608,C1COCCO1>>C=C.C=O.O=C,[4168]
2609,C1COCO1>>[C&-][O&+]=C.C=O,[6597]
2610,C1COCOC1>>C=C.O=C.O=C,[2048]
2611,C1Cc2nccn21>>[C&-][N&+]1=CC=NC1=C,[7935]
2612,C1N(C)C1>>C(N=C)C,[9138]
2613,C1COC=N1>>C=[N&+]=[C&-].C=O,[7253]
2614,C1C([#1])N1>>C([N&+]=[C&-])[#1],[10351]
2615,C1C([#1])N1>>C(C=N)[#1],[4198]
2616,C1OC1[#1]>>C(C=O)[#1],[10974]
2617,C1C([#1])N1.O>>C=CN.O[#1],[4569]
2618,C1OC2C([#1])C12>>C(/C=C\C=O)[#1],[4812]
2619,C1OC2C([#1])C12>>C(C=CC=O)[#1],[7711]
2620,C1OC=NC1>>[C&-]=[N&+]=C.C=O,[5142]
2621,C1NCC2CN12>>C=N.C=CN=C,[10124]
2622,C1OCC([#1])C1>>C=O.C(C=C)[#1],[8134]
2623,C1OCC([#1])C1>>C=O.C=CC[#1],[7412]
2624,C1C([#1])CCO1>>C=CC[#1].C=O,[5574]
2625,C1C([#1])CC1>>C(CC=C)[#1],[137]
2626,C1OCC1>>[C&-].C=[O&+]C,[4095]
2627,C1OCC2CC12>>C=O.C=CC=C,[6891]
2628,C1OCC2NC12>>C=O.C=CC=N,[1303]
2629,C1OCCC1>>C.C=C.O=C,[7118]
2630,C1OCC([#1])=C1>>C=O.C(C#C)[#1],[282]
2631,C1NCC2CN12>>C=NC=C.N=C,[10121]
2632,C1NCC=C1>>N=C.c1cc1,[4393]
2633,C1OC([#1])=NC1>>C=C.O=C=N[#1],[5143]
2634,C1OC([#1])C2C([#1])C12>>[#1][#1].c1occcc1,[7124]
2635,C1OC([#1])CO1>>C=O.O=CC[#1],[5612]
2636,C1OC1.C[#1]>>C=O.C(C)[#1],[4659]
2637,C1OC1.O>>C=C.[O&+][O&-],[145]
2638,C1OC1.O>>C=[O&+]C.[O&-],[1044]
2639,C1OC1CO>>C=O.C(=C)O,[5564]
2640,C1OC12COC2>>C1[O&+]=[C&-]C1.O=C,[993]
2641,C1C([#1])OC1>>C(C=O)[#1].C,[3462]
2642,C1C([#1])OC1=O>>[C&-]#[O&+].C(C=O)[#1],[10720]
2643,C1C([#1])O1.O>>CC=O.O[#1],[10781]
2644,C1C([#1])NCO1>>C(C=N)[#1].C=O,[8285]
2645,C1OC1C#N>>C=[O&+]C=C=[N&-],[1472]
2646,C1OC1C>>C(C=O)C,[7675]
2647,C1C([#1])NCC1>>C=CN[#1].C=C,[7280]
2648,C1OC1.O>>[C&+].C=O.[O&-],[7081]
2649,C1CC1C1CC1>>C=CCCC=C,[3450]
2650,C1CCCC=C1>>C=C.C=C.C#C,[8412]
2651,C1CCCCC1>>C=C.C=C.C=C,[2972]
2652,C1CCCO1>>C.C=C.C=O,[1549]
2653,C1CC1C1CC1>>C(C=C)CC=C,[9573]
2654,C1CCN1>>C=C.N=C,[3690]
2655,C1CC1C.O>>CC=C.OC,[10602]
2656,C1C2OCCC12>>C=CC=C.O=C,[8436]
2657,C1CC1C.C>>C(C=C)C.C,[9620]
2658,C1CC1C#N.O>>CC=C=[N&-].[O&+]=C,[10607]
2659,C1CC1.O>>[C&+].C=C.[O&-],[11600]
2660,C1CCOCC1>>C=C.C=O.C=C,[1888]
